Date,Open,High,Low,Close,Adj Close,Volume
2019-02-22,105.550003,107.400002,104.830002,107.010002,101.478256,4777415
2019-02-25,107.239998,108.500000,106.430000,107.010002,101.478256,7927824
2019-02-26,106.750000,108.190002,104.440002,105.230003,99.790268,7859188
2019-02-27,104.970001,105.790001,102.019997,103.620003,98.263496,7987073
2019-02-28,103.370003,105.230003,101.559998,104.849998,99.429909,10822961
2019-03-01,104.989998,106.519997,102.949997,105.760002,100.292870,9276124
2019-03-04,105.750000,106.459999,104.010002,106.080002,100.596329,4635924
2019-03-05,105.709999,107.040001,105.650002,106.639999,101.127380,6610843
2019-03-06,106.989998,108.559998,102.980003,103.370003,98.026421,11039853
2019-03-07,103.500000,103.500000,100.620003,100.889999,95.674622,3718571
2019-03-08,100.000000,100.000000,97.510002,97.849998,92.791763,9174721
2019-03-11,98.389999,99.489998,97.930000,99.070000,93.948700,5163235
2019-03-12,99.349998,99.889999,97.860001,97.919998,92.858147,7047859
2019-03-13,98.300003,99.190002,98.029999,99.129997,94.005600,4871414
2019-03-14,98.739998,100.500000,97.629997,99.699997,94.546135,4127437
2019-03-15,99.709999,102.000000,99.709999,100.800003,95.589272,18014365
2019-03-19,101.250000,103.389999,100.820000,102.610001,97.305710,10243994
2019-03-20,102.599998,107.489998,101.209999,105.330002,99.885101,8519758
2019-03-21,104.610001,105.690002,103.809998,105.459999,100.008377,5770973
2019-03-22,104.709999,105.889999,100.019997,101.239998,96.006523,5821815
2019-03-25,101.809998,105.279999,101.800003,105.000000,99.572159,4285801
2019-03-26,104.860001,106.139999,104.209999,105.180000,99.742851,6735171
2019-03-27,105.500000,106.099998,104.309998,105.430000,99.979927,5131247
2019-03-28,105.400002,106.510002,104.379997,106.059998,100.577362,4511483
2019-03-29,106.769997,107.190002,105.010002,105.540001,100.084244,5494181
2019-04-01,106.089996,107.489998,105.620003,106.199997,100.710121,7402223
2019-04-02,105.800003,107.760002,105.510002,107.500000,101.942924,4993260
2019-04-03,107.889999,109.089996,106.809998,108.949997,103.317963,5163744
2019-04-04,108.129997,114.919998,108.129997,112.760002,106.931015,12879044
2019-04-05,113.400002,117.690002,113.370003,116.150002,110.145775,12403018
2019-04-08,115.989998,119.500000,115.510002,118.830002,112.687233,11375052
2019-04-09,117.610001,119.000000,117.309998,118.599998,112.469124,8767053
2019-04-10,118.769997,118.769997,116.870003,117.040001,110.989769,13455156
2019-04-11,117.040001,117.800003,113.410004,117.059998,111.008728,5779494
2019-04-12,118.309998,121.000000,118.309998,120.529999,114.299355,7360847
2019-04-15,120.320000,120.320000,117.570000,118.220001,112.108765,3865995
2019-04-16,117.930000,118.959999,116.209999,117.629997,111.549263,6206552
2019-04-17,117.599998,123.180000,117.570000,122.919998,116.565804,10548697
2019-04-22,122.220001,123.480003,122.110001,123.160004,116.793404,4351122
2019-04-23,123.000000,123.489998,122.209999,123.080002,116.717537,5574558
2019-04-24,123.330002,123.790001,119.410004,121.830002,115.532150,7104811
2019-04-25,122.129997,122.589996,120.849998,122.139999,115.826126,6750184
2019-04-26,122.440002,122.889999,121.110001,122.080002,115.769234,4414014
2019-04-29,121.709999,124.190002,121.360001,123.690002,117.296005,3621773
2019-04-30,123.010002,123.430000,115.080002,119.830002,113.635544,10116097
2019-05-02,119.650002,119.660004,113.330002,114.220001,108.315544,9419947
2019-05-03,114.220001,115.290001,114.110001,114.900002,108.960388,9543919
2019-05-06,114.209999,117.690002,114.000000,116.099998,110.098358,2858582
2019-05-07,115.610001,116.790001,113.500000,113.580002,107.708626,3302650
2019-05-08,113.320000,115.239998,110.800003,114.120003,108.220711,10041911
2019-05-09,113.320000,113.599998,110.739998,110.989998,105.252510,5759038
2019-05-10,110.750000,114.190002,109.500000,113.480003,107.613800,5362251
2019-05-13,112.809998,112.809998,110.199997,112.029999,106.238747,4383579
2019-05-14,111.750000,112.690002,111.070000,112.120003,106.324104,6044942
2019-05-15,111.510002,112.730003,111.309998,111.610001,105.840462,8478891
2019-05-16,111.360001,112.589996,110.809998,111.250000,105.499069,5134186
2019-05-17,110.989998,112.290001,110.809998,111.769997,105.992188,5362748
2019-05-20,111.529999,112.540001,110.610001,110.900002,105.167168,3798739
2019-05-21,111.570000,111.889999,109.010002,109.430000,103.773155,5731241
2019-05-22,109.419998,109.790001,107.300003,109.099998,103.460213,5479613
2019-05-23,108.830002,109.800003,108.010002,109.269997,103.621422,4445927
2019-05-24,109.559998,109.570000,106.480003,107.500000,101.942924,3798127
2019-05-27,107.980003,107.980003,107.000000,107.269997,101.724808,1505269
2019-05-28,107.349998,109.449997,106.339996,107.220001,101.677399,16331063
2019-05-29,107.010002,111.489998,107.010002,110.820000,105.091301,7069830
2019-05-30,110.800003,113.680000,110.320000,113.430000,107.566383,5123117
2019-05-31,110.949997,110.949997,105.980003,106.589996,101.079964,16451536
2019-06-03,106.900002,108.320000,106.139999,106.940002,101.411873,9666190
2019-06-04,107.900002,108.650002,107.010002,107.199997,101.658432,6378852
2019-06-05,104.900002,106.480003,103.389999,106.110001,106.110001,6817316
2019-06-06,104.400002,106.019997,103.279999,103.489998,103.489998,6974990
2019-06-07,103.629997,103.650002,100.709999,101.949997,101.949997,6782903
2019-06-10,103.489998,107.510002,103.489998,107.239998,107.239998,10823480
2019-06-11,107.660004,107.720001,106.019997,106.860001,106.860001,4304370
2019-06-12,107.339996,107.339996,104.800003,105.070000,105.070000,6251060
2019-06-13,105.430000,106.889999,105.269997,106.489998,106.489998,5291337
2019-06-14,106.139999,106.489998,105.209999,106.199997,106.199997,3986143
2019-06-17,105.610001,109.190002,105.510002,107.650002,107.650002,4989776
2019-06-18,107.650002,109.139999,106.760002,107.120003,107.120003,4319795
2019-06-19,107.379997,107.720001,106.410004,106.709999,106.709999,4418068
2019-06-20,107.089996,109.000000,106.870003,108.099998,108.099998,8390239
2019-06-21,107.709999,110.680000,107.709999,110.040001,110.040001,14809729
2019-06-24,110.309998,111.199997,109.110001,110.989998,110.989998,3867108
2019-06-25,110.010002,111.589996,110.000000,111.089996,111.089996,4548165
2019-06-26,111.000000,112.419998,110.500000,112.080002,112.080002,4726874
2019-06-27,112.360001,112.500000,111.349998,112.099998,112.099998,5305945
2019-06-28,111.510002,112.389999,111.010002,111.360001,111.360001,7813369
2019-07-01,111.110001,111.989998,110.349998,111.269997,111.269997,3451396
2019-07-02,111.889999,111.989998,110.330002,111.349998,111.349998,4311587
2019-07-03,111.580002,112.680000,110.510002,112.430000,112.430000,3004656
2019-07-04,112.430000,112.470001,111.470001,111.680000,111.680000,537215
2019-07-05,111.410004,112.190002,110.709999,112.059998,112.059998,2388603
2019-07-08,111.309998,113.440002,111.110001,112.760002,112.760002,3400343
2019-07-09,112.199997,113.279999,108.010002,108.230003,108.230003,8990840
2019-07-10,109.470001,109.470001,104.480003,104.800003,104.800003,7491338
2019-07-11,105.209999,106.000000,104.529999,105.449997,105.449997,5770353
2019-07-12,105.389999,106.389999,104.709999,106.110001,106.110001,3529056
2019-07-15,106.150002,109.980003,105.769997,108.720001,108.720001,4995448
2019-07-16,108.470001,109.199997,105.510002,107.120003,107.120003,5765547
2019-07-17,106.480003,107.239998,103.150002,103.459999,103.459999,7904275
2019-07-18,103.430000,103.610001,99.610001,100.410004,100.410004,11040579
2019-07-19,101.000000,101.769997,99.800003,100.290001,100.290001,8437544
2019-07-22,101.989998,101.989998,99.699997,100.320000,100.320000,5202562
2019-07-23,100.070000,100.070000,97.300003,97.750000,97.750000,10492683
2019-07-24,98.070000,100.449997,97.820000,100.209999,100.209999,5729465
